Title,Memory,Display,Camera,Battery,Processor,Selling_price,Cost_price,Rating,Discount
OPPO F11 (Fluorite Purple| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,48MP + 5MP | 16MP Front Camera,4020 mAh Battery,MTK MT6771V (P70) Processor,17990,23990,4.4,25% off
Vivo U20 (Racing Black| 64 GB)|,4 GB RAM | 64 GB ROM |,16.59 cm (6.53 inch) Display,16MP Rear Camera,5000 mAh Battery,,11420,12990,4.4,12% off
Realme X2 (Pearl Green| 128 GB)|,8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,19999,20999,4.5,4% off
POCO X2 (Atlantis Blue| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,16999,18999,4.9,10% off
Realme X2 (Pearl Blue| 128 GB)|,6 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,18999,19999,4.5,5% off
Realme X2 (Pearl White| 128 GB)|,8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,19999,20999,4.5,4% off
Realme X2 (Pearl White| 64 GB)|,4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,16999,17999,4.5,5% off
Redmi Note 8 (Cosmic Purple| 128 GB)|,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera | 13MP Front Camera,4000 mAh Battery,,14998,15999,4.4,6% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Vivo S1 Pro (Mystic Black| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,19990,20990,4.5,4% off
Realme X2 Pro (Neptune Blue| 64 GB)|,6 GB RAM | 64 GB ROM |,90 Hz Ultra Smooth Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,27999,29999,4.5,6% off
Apple iPhone 11 (Black| 128 GB)|,128 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,69900,69900,4.7,
Redmi Go (Black| 8 GB)|,1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,4299,5999,4.3,28% off
Apple iPhone XS (Space Grey| 64 GB)|,64 GB ROM |,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,,A12 Bionic Chip Processor,59999,89900,4.7,33% off
I Kall K900 (Sky Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
POCO X2 (Phoenix Red| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,16999,18999,4.9,10% off
Vivo V15 Pro (Ruby Red| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.23 cm (6.39 inch) Full HD+ Display,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8MP + 5MP| AI Triple Rear Camera | 32MP Front Camera|,3700 mAh Li-ion Battery,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz Processor,26990,34990,4.5,22% off
Tecno Spark Power (Dawn Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP AI Triple Rear Camera | 13MP Front Camera,6000 mAh Li-Polymer Battery,Mediatek Helio Processor,8499,10499,4.3,19% off
I Kall K65,32 MB RAM | 64 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,1399,1999,3.3,30% off
OPPO F11 Pro (Aurora Green| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,Pop-up Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,15990,28990,4.4,44% off
Lava Hero,32 MB RAM | 0 KB ROM |,4.57 cm (1.8 inch) Display,,600 mAh Battery,,621,699,4,11% off
OPPO F11 Pro (Thunder Black| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,19299,29990,4.4,35% off
Nokia 105 SS,4 MB RAM | 4 MB ROM |,4.5 cm (1.77 inch) Display,,800 mAh Battery,,1066,1249,4.3,14% off
Vivo Y19 (Magnetic Black| 128 GB)|,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Li-ion Battery,Helio P65 Processor,13990,15990,4.4,12% off
I Kall K110 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,13.97 cm (5.5 inch) Display,5MP Rear Camera,2500 mAh Battery,,2999,6999,3.9,57% off
Redmi Note 7 Pro (Neptune Blue| 128 GB)|,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,13999,17999,4.5,22% off
Motorola One Macro (Ultra Violet| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.75 cm (6.2 inch) HD+ Display,Dedicated Macro Camera,4000 mAh Battery,MediaTek Helio P70 Processor,8999,11999,4.3,25% off
Vivo V17 (Midnight Ocean Black| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,FHD+ E3 Super Amoled Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 675AIE Processor,22990,27990,4.5,17% off
I Kall K900 (Dark Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Samsung Galaxy M30 (Gradation Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) Display,13MP Rear Camera,5000 mAh Battery,,12673,13959,4.4,9% off
OPPO F5 Youth (Gold| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD+ Display,13MP Rear Camera | 16MP Front Camera,3200 mAh Battery,MT6763T Processor,5990,17990,4.3,66% off
Realme 2 Pro (Black Sea| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 2MP | 16MP Front Camera,3500 mAh Li-ion Battery,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE Processor,9999,15990,4.5,37% off
Honor 10 Lite (Sapphire Blue| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,11499,18999,4.4,39% off
Honor 10 Lite (Midnight Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,7999,13999,4.3,42% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Honor 10 Lite (Sapphire Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,10999,16999,4.4,35% off
Micromax X741,32 MB RAM | 32 MB ROM |,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1750 mAh Battery,,998,2499,4.1,60% off
Nokia 105 SS,4 MB RAM | 4 MB ROM |,4.5 cm (1.77 inch) Display,,800 mAh Battery,,1069,1249,4.3,14% off
